City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
San Leandro,California,41.8,43032,47679,90711,4111,34293,2.79,CA,Hispanic or Latino,26894
Austin,Texas,32.7,475718,456122,931840,37414,181686,2.5,TX,Black or African-American,81861
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,Black or African-American,61894
Pittsburgh,Pennsylvania,32.9,149690,154695,304385,17728,28187,2.13,PA,Black or African-American,82248
Naperville,Illinois,38.5,71365,75794,147159,4545,30399,2.76,IL,White,108937
Augusta-Richmond County consolidated government,Georgia,33.7,94662,101917,196579,19085,7915,2.67,GA,Black or African-American,112271
Spokane,Washington,36.6,102756,110511,213267,18044,13253,2.34,WA,American Indian and Alaska Native,7192
Yuba City,California,34.5,33654,33290,66944,4706,18032,2.9,CA,American Indian and Alaska Native,2163
Jacksonville,Florida,35.7,419203,448828,868031,75432,85650,2.62,FL,White,543582
Davis,California,26.3,33493,34163,67656,2176,13997,2.69,CA,Black or African-American,2081
Charlotte,North Carolina,34.3,396646,430475,827121,36046,128897,2.52,NC,Black or African-American,301568
Yorba Linda,California,45.5,31960,36006,67966,3171,15532,3,CA,Black or African-American,1326
San Mateo,California,39.3,50966,52558,103524,2730,34957,2.64,CA,Asian,30573
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,Hispanic or Latino,5589
Atascocita,Texas,32.8,37424,40816,78240,4416,8657,3.03,TX,Black or African-American,21491
Ontario,California,31,85059,86141,171200,4816,48557,3.52,CA,American Indian and Alaska Native,4304
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,Asian,1428
Iowa City,Iowa,25.5,37089,37138,74227,2047,9202,2.36,IA,White,59839
Spokane Valley,Washington,36,49933,44975,94908,7984,4199,2.39,WA,Asian,1336
Greenville,North Carolina,26.2,39897,50691,90588,4283,4183,2.4,NC,Hispanic or Latino,4409
Irving,Texas,32.3,117189,119428,236617,6207,86756,2.78,TX,American Indian and Alaska Native,2960
Meridian,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,Black or African-American,1809
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,Asian,4964
Chattanooga,Tennessee,36.6,83640,92957,176597,10001,10599,2.4,TN,White,114140
Carson,California,40.4,43790,49506,93296,4273,33860,3.7,CA,Asian,31706
Tuscaloosa,Alabama,29.1,47293,51045,98338,3647,4706,2.67,AL,Black or African-American,42331
Thousand Oaks,California,44.8,65113,64216,129329,6323,25330,2.79,CA,Hispanic or Latino,26754
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,Black or African-American,13636
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,Hispanic or Latino,13368
Frederick,Maryland,36.1,33146,36336,69482,3870,14211,2.48,MD,American Indian and Alaska Native,1333
Indianapolis,Indiana,34.1,410615,437808,848423,42186,72456,2.53,IN,White,553665
Tracy,California,35.5,43156,43937,87093,3025,25410,3.42,CA,Asian,16856
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,Asian,2374
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,American Indian and Alaska Native,551
Plano,Texas,38.1,138565,145054,283619,11719,74030,2.65,TX,White,195220
Norfolk,Virginia,30.2,128917,117476,246393,29445,16702,2.51,VA,Asian,11854
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,White,16845
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,Hispanic or Latino,35563
Gresham,Oregon,36.7,53866,56716,110582,6326,17860,2.67,OR,Black or African-American,7721
Lewisville,Texas,31.6,52776,52032,104808,4211,24865,2.78,TX,Asian,12412
Independence,Missouri,38.6,54348,62907,117255,10220,4911,2.33,MO,Hispanic or Latino,12236
Hoover,Alabama,38.5,38040,46799,84839,4819,8229,2.58,AL,Hispanic or Latino,3430
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,American Indian and Alaska Native,32243
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,Asian,44849
Guaynabo,Puerto Rico,42.2,33066,37426,70492,,,,PR,American Indian and Alaska Native,589
Pittsburg,California,34.5,33309,36118,69427,2109,21043,3.15,CA,Black or African-American,14931
Birmingham,Alabama,35.6,102122,112789,214911,13212,8258,2.21,AL,Black or African-American,157985
Centreville,Virginia,36,34749,37033,71782,3779,27797,2.97,VA,Asian,25058
Phoenix,Arizona,33.8,786833,776168,1563001,72388,300702,2.89,AZ,Hispanic or Latino,669914
Redlands,California,36.2,33993,37035,71028,3445,8681,2.82,CA,Black or African-American,6973
Glen Burnie,Maryland,36.5,33398,36461,69859,5298,6971,2.58,MD,Black or African-American,17010
Hayward,California,34.3,78152,80148,158300,4385,60970,3.32,CA,Asian,46285
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,American Indian and Alaska Native,316
Lakeland,Florida,38.1,47840,56570,104410,7390,11592,2.56,FL,Hispanic or Latino,16501
Laguna Niguel,California,45.8,30193,35619,65812,2648,12571,2.58,CA,Asian,8499
Denton,Texas,28.7,62478,68569,131047,6352,18451,2.66,TX,American Indian and Alaska Native,1857
Henderson,Nevada,42.5,139412,146246,285658,25045,35666,2.55,NV,Asian,24931
Colorado Springs,Colorado,34.8,225544,231018,456562,49291,35320,2.48,CO,Black or African-American,38976
Memphis,Tennessee,34.1,312237,343523,655760,31189,43318,2.55,TN,Asian,15778
Cedar Park,Texas,34.4,31248,33589,64837,3090,5207,3.05,TX,Black or African-American,3667
Suffolk,Virginia,38.2,43048,45113,88161,10114,2829,2.72,VA,White,46458
Durham,North Carolina,33.2,121153,136445,257598,12528,38642,2.4,NC,American Indian and Alaska Native,3154
Reading,Pennsylvania,29.4,43668,44205,87873,2580,17043,2.95,PA,Asian,903
Quincy,Massachusetts,41,44129,49500,93629,4147,32935,2.39,MA,Asian,30473
Riverview,Florida,32.2,44210,45536,89746,6943,12240,3.22,FL,White,60793
Virginia Beach,Virginia,35.4,222684,230061,452745,54995,38360,2.61,VA,Asian,38715
Lawrence,Kansas,27.4,45592,48324,93916,2986,8701,2.53,KS,Black or African-American,5777
Victoria,Texas,35.8,32290,35291,67581,5000,4480,2.7,TX,Asian,2032
Des Moines,Iowa,34.5,103726,106591,210317,11780,23857,2.41,IA,Black or African-American,26353
Casas Adobes,Arizona,44.8,30890,34375,65265,6601,7024,2.24,AZ,Asian,3009
Columbia,Maryland,37.9,52202,51265,103467,6526,23249,2.68,MD,Asian,17821
San Antonio,Texas,33.1,721405,748419,1469824,109089,208046,2.93,TX,American Indian and Alaska Native,20752
Dallas,Texas,32.6,639019,661063,1300082,41026,326825,2.59,TX,Asian,47099
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,Hispanic or Latino,56282
Bellingham,Washington,30.7,41286,43857,85143,4703,8713,2.44,WA,Black or African-American,2325
Lansing,Michigan,31.4,54333,59777,114110,5327,8371,2.39,MI,White,75688
Waco,Texas,29.3,63452,68890,132342,10716,14235,2.57,TX,Asian,4230
Peoria,Arizona,36.9,80139,91103,171242,13019,14260,2.97,AZ,White,151232
Southfield,Michigan,41.6,31369,41808,73177,4035,4011,2.27,MI,Asian,1345
Compton,California,30.1,49264,49184,98448,897,30660,4.08,CA,Asian,1732
Greeley,Colorado,31,50792,50091,100883,4294,11480,2.75,CO,American Indian and Alaska Native,2449
Pleasanton,California,41.3,36662,42857,79519,2424,23208,2.87,CA,Asian,27662
Fishers,Indiana,34.5,42161,43910,86071,2469,6138,2.8,IN,Asian,7571
Poinciana,Florida,34.2,38142,35801,73943,2933,14349,3.93,FL,American Indian and Alaska Native,1593
Yonkers,New York,38,96580,104538,201118,4801,61247,2.8,NY,White,129492
Pueblo,Colorado,37.6,55635,53784,109419,7989,3578,2.44,CO,American Indian and Alaska Native,7306
Pasadena,Texas,31.5,78827,74959,153786,5735,38072,2.95,TX,Asian,1570
Manteca,California,35.3,37053,38397,75450,3936,13942,3.25,CA,White,56156
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,Hispanic or Latino,5139
Rochester,Minnesota,35,54934,57282,112216,6888,17763,2.55,MN,Black or African-American,9425
Yorba Linda,California,45.5,31960,36006,67966,3171,15532,3,CA,American Indian and Alaska Native,211
Columbia,South Carolina,28,67686,65707,133393,5708,6074,2.32,SC,White,73232
Moreno Valley,California,30.7,98584,105597,204181,8529,54442,3.9,CA,American Indian and Alaska Native,1843
Harlingen,Texas,30.1,32404,33365,65769,2761,10391,3,TX,Asian,2166
Sterling Heights,Michigan,39.6,64985,67077,132062,6970,34313,2.66,MI,Asian,12264
Plymouth,Minnesota,38.4,39035,36893,75928,4158,8830,2.46,MN,Black or African-American,6938
Lake Charles,Louisiana,31.8,35678,40388,76066,4477,3215,2.36,LA,Hispanic or Latino,3157
Lynn,Massachusetts,34.8,44598,47861,92459,3093,29899,2.81,MA,Asian,9205
Fishers,Indiana,34.5,42161,43910,86071,2469,6138,2.8,IN,Black or African-American,6873
Hoover,Alabama,38.5,38040,46799,84839,4819,8229,2.58,AL,White,61869
Savannah,Georgia,30.3,69389,76295,145684,9717,10355,2.57,GA,Asian,5366
Glen Burnie,Maryland,36.5,33398,36461,69859,5298,6971,2.58,MD,Asian,3194
Broomfield,Colorado,36.8,31755,33310,65065,3966,5316,2.53,CO,American Indian and Alaska Native,601
Buena Park,California,35.7,41593,41671,83264,3116,28430,3.55,CA,American Indian and Alaska Native,361
Turlock,California,36.2,33190,39103,72293,3397,14686,2.76,CA,Black or African-American,2307
Bellingham,Washington,30.7,41286,43857,85143,4703,8713,2.44,WA,White,74183
Hemet,California,36.8,38622,45251,83873,5613,13330,2.97,CA,American Indian and Alaska Native,2288
Lakeland,Florida,38.1,47840,56570,104410,7390,11592,2.56,FL,White,75636
Jackson,Tennessee,35.3,30007,36973,66980,3529,2097,2.52,TN,Hispanic or Latino,3383
Olathe,Kansas,33,65046,69270,134316,6042,11913,2.97,KS,Asian,6288
Oklahoma City,Oklahoma,34.1,309227,322036,631263,41843,80165,2.58,OK,Black or African-American,111673
Oakland,California,35.7,203827,215451,419278,12159,113896,2.56,CA,Hispanic or Latino,114054
Midland,Texas,32.1,66595,66355,132950,5753,17061,2.78,TX,American Indian and Alaska Native,1922
Somerville,Massachusetts,31,41028,39306,80334,2103,22292,2.43,MA,Hispanic or Latino,8790
Richmond,California,35.3,52615,57100,109715,3611,42215,2.87,CA,Asian,20082
Apple Valley,California,34.3,32873,39312,72185,5714,5801,3.03,CA,Black or African-American,9124
Providence,Rhode Island,29.9,89090,90114,179204,4933,53532,2.72,RI,Hispanic or Latino,77968
Carlsbad,California,42.1,55119,58347,113466,6031,17689,2.68,CA,White,98705
Jacksonville,North Carolina,24.2,40015,27348,67363,8252,3732,2.51,NC,Asian,4204
Allen,Texas,37.2,51324,46814,98138,3505,19649,3.04,TX,White,69840
Pasco,Washington,28.6,35298,32799,68097,2052,16265,3.45,WA,American Indian and Alaska Native,1054
Chicago,Illinois,34.2,1320015,1400541,2720556,72042,573463,2.53,IL,Asian,195084
Federal Way,Washington,36.4,49151,46037,95188,7135,18565,2.68,WA,White,59035
Columbia,South Carolina,28,67686,65707,133393,5708,6074,2.32,SC,American Indian and Alaska Native,1420
Newport News,Virginia,32.8,88385,94000,182385,18896,12589,2.46,VA,Hispanic or Latino,15780
Highlands Ranch,Colorado,39.6,49186,53281,102467,4840,8827,2.72,CO,White,94499
Flint,Michigan,35.3,48984,49313,98297,3757,2138,2.38,MI,Black or African-American,55137
Nashville,Tennessee,34.1,314231,340365,654596,27942,88193,2.39,TN,Asian,27355
Atlanta,Georgia,33.8,223960,239915,463875,18572,32016,2.15,GA,Black or African-American,245367
Lowell,Massachusetts,33.4,54422,56298,110720,3764,33414,2.8,MA,Asian,28944
Las Vegas,Nevada,37.5,310568,313201,623769,42397,127609,2.79,NV,Black or African-American,84987
Sunrise,Florida,37.7,41471,51235,92706,4108,38209,2.98,FL,Hispanic or Latino,29163
Medford,Oregon,38.6,39606,40189,79795,6632,6185,2.65,OR,Black or African-American,1201
Pawtucket,Rhode Island,39.2,36072,35511,71583,3173,17884,2.41,RI,American Indian and Alaska Native,1359
Glendale,California,42.1,98181,102844,201025,4448,111510,2.69,CA,Asian,42070
Kirkland,Washington,40.8,42159,45108,87267,5156,18570,2.3,WA,American Indian and Alaska Native,1155
Reno,Nevada,35.7,122292,119151,241443,17089,37070,2.46,NV,Asian,20681
Boston,Massachusetts,31.8,322149,347320,669469,18350,190123,2.38,MA,American Indian and Alaska Native,5580
Town 'n' Country,Florida,38.1,39410,39586,78996,4534,22135,2.61,FL,American Indian and Alaska Native,1622
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,White,51151
Marysville,Washington,33.2,33436,33337,66773,5714,7721,2.79,WA,Hispanic or Latino,7142
Fontana,California,29.5,100644,106828,207472,4076,61448,4.15,CA,Black or African-American,16986
Nashua,New Hampshire,38.3,42926,45049,87975,5532,12693,2.46,NH,Hispanic or Latino,10511
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,American Indian and Alaska Native,1551
Saint Charles,Missouri,34.9,32054,36747,68801,4371,5274,2.33,MO,Asian,3392
Mesa,Arizona,36.9,234998,236835,471833,31808,57492,2.68,AZ,Asian,14608
Chattanooga,Tennessee,36.6,83640,92957,176597,10001,10599,2.4,TN,Black or African-American,59918
San Buenaventura,California,37.7,53932,55785,109717,5980,18025,2.68,CA,American Indian and Alaska Native,2808
Milwaukee,Wisconsin,31.6,286315,313839,600154,20615,58321,2.51,WI,American Indian and Alaska Native,10813
Sioux City,Iowa,34.3,38827,43949,82776,4093,7471,2.57,IA,Black or African-American,3994
Mayagüez,Puerto Rico,38.1,30799,35782,66581,,,,PR,Hispanic or Latino,65521
Fairfield,California,34.7,55550,57422,112972,8607,24503,3.14,CA,Asian,22428
Salem,Oregon,35.4,80839,83704,164543,9685,19668,2.69,OR,Black or African-American,3770
Pomona,California,32.1,74945,78307,153252,3251,53879,3.63,CA,Asian,17646
Hayward,California,34.3,78152,80148,158300,4385,60970,3.32,CA,American Indian and Alaska Native,2178
Pasco,Washington,28.6,35298,32799,68097,2052,16265,3.45,WA,Black or African-American,2265
Bayonne,New Jersey,39.7,32705,33598,66303,2225,21899,2.62,NJ,Hispanic or Latino,19525
Homestead,Florida,31.4,31401,35099,66500,2287,24408,3.48,FL,White,48820
Boston,Massachusetts,31.8,322149,347320,669469,18350,190123,2.38,MA,Black or African-American,189347
Skokie,Illinois,43.4,31382,33437,64819,1066,27424,2.78,IL,Black or African-American,4937
Fort Smith,Arkansas,34.9,43346,44849,88195,3408,13177,2.44,AR,White,66004
Paterson,New Jersey,34,70640,77117,147757,1694,49810,3.37,NJ,American Indian and Alaska Native,1083
Coral Springs,Florida,37.2,63316,66186,129502,4724,38552,3.17,FL,Black or African-American,27225
San Diego,California,34.5,693826,701081,1394907,92489,373842,2.73,CA,Black or African-American,111650
Mobile,Alabama,38,91275,103030,194305,11939,7234,2.4,AL,American Indian and Alaska Native,2816
O'Fallon,Missouri,36,41762,43270,85032,5783,3269,2.77,MO,Black or African-American,5136
Jurupa Valley,California,33.8,49430,50884,100314,3833,25338,3.87,CA,American Indian and Alaska Native,1554
South Gate,California,32.5,47758,48641,96399,724,40571,3.97,CA,American Indian and Alaska Native,618
El Paso,Texas,33.1,332797,348339,681136,47693,159709,3.03,TX,Black or African-American,34473
Lowell,Massachusetts,33.4,54422,56298,110720,3764,33414,2.8,MA,Black or African-American,7310
Sugar Land,Texas,42.1,43889,44240,88129,4377,31169,2.95,TX,Asian,33469
South Bend,Indiana,32.4,50483,53274,103757,3708,8779,2.72,IN,Hispanic or Latino,16462
Warner Robins,Georgia,31.4,35093,38909,74002,6974,3210,2.5,GA,Black or African-American,29307
Mesquite,Texas,34.6,69240,75884,145124,6438,26755,2.96,TX,American Indian and Alaska Native,2564
Pasadena,California,37.6,67712,74534,142246,4618,40779,2.63,CA,Black or African-American,15909
Mobile,Alabama,38,91275,103030,194305,11939,7234,2.4,AL,Black or African-American,96397
Dothan,Alabama,38.9,32172,35364,67536,6334,1699,2.59,AL,Hispanic or Latino,1704
Youngs,Ohio,37.5,30758,33851,64609,3620,1058,2.22,OH,Asian,247
Pembroke Pines,Florida,40.3,77050,89574,166624,6849,62210,2.94,FL,Hispanic or Latino,60519
Killeen,Texas,29.2,69442,71367,140809,24281,15769,2.72,TX,Black or African-American,54601
Macon,Georgia,36,71833,81626,153459,10735,4846,2.46,GA,White,64117
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,Black or African-American,66551
West Jordan,Utah,30.8,57898,54044,111942,3577,11492,3.46,UT,Asian,3539
Goodyear,Arizona,38.6,36711,42292,79003,7650,11774,2.97,AZ,Asian,5701
Newport News,Virginia,32.8,88385,94000,182385,18896,12589,2.46,VA,White,95151
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,Black or African-American,9577
Hawthorne,California,33.7,43682,44762,88444,2123,32107,2.97,CA,Hispanic or Latino,50115
West Covina,California,39.8,51629,56860,108489,3800,37038,3.56,CA,Hispanic or Latino,58907
Charleston,South Carolina,35,63956,71568,135524,9368,5767,2.4,SC,American Indian and Alaska Native,633
Roswell,Georgia,38.8,48637,45859,94496,3325,16501,2.7,GA,Hispanic or Latino,16920
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,Black or African-American,3407
Kansas City,Kansas,33.4,74606,76655,151261,8139,25507,2.71,KS,Asian,7301
Kansas City,Kansas,33.4,74606,76655,151261,8139,25507,2.71,KS,Black or African-American,40177
Escondido,California,33.3,76551,74907,151458,8110,46298,3.27,CA,White,120781
Temecula,California,34.2,54407,57619,112026,7587,18884,3.34,CA,Hispanic or Latino,36246
Lakewood,Colorado,37.7,76013,76576,152589,9988,14169,2.29,CO,Hispanic or Latino,33630
Cedar Rapids,Iowa,36.2,63109,67296,130405,7823,5404,2.32,IA,American Indian and Alaska Native,1243
Decatur,Illinois,40.4,34646,38210,72856,5291,1224,2.23,IL,American Indian and Alaska Native,265
Chattanooga,Tennessee,36.6,83640,92957,176597,10001,10599,2.4,TN,Asian,4602
Turlock,California,36.2,33190,39103,72293,3397,14686,2.76,CA,Hispanic or Latino,23559
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,American Indian and Alaska Native,3606
Rialto,California,31.6,49902,53235,103137,2036,32741,3.83,CA,Hispanic or Latino,78571
Spokane,Washington,36.6,102756,110511,213267,18044,13253,2.34,WA,White,193143
Yonkers,New York,38,96580,104538,201118,4801,61247,2.8,NY,Hispanic or Latino,73608
Johnson City,Tennessee,38.2,31019,34350,65369,5038,2878,2.18,TN,American Indian and Alaska Native,400
Evansville,Indiana,38,57198,60481,117679,9063,3169,2.25,IN,Black or African-American,17564
Suffolk,Virginia,38.2,43048,45113,88161,10114,2829,2.72,VA,American Indian and Alaska Native,504
Pasadena,Texas,31.5,78827,74959,153786,5735,38072,2.95,TX,Hispanic or Latino,105871
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,American Indian and Alaska Native,1560
Bloomington,Indiana,23.5,40588,43227,83815,2368,10033,2.33,IN,Asian,9801
Clarksville,Tennessee,29.7,75029,74161,149190,20803,8211,2.64,TN,Asian,6348
Waukegan,Illinois,32.3,45514,42833,88347,3404,30997,2.92,IL,Black or African-American,11697
Montgomery,Alabama,35.4,94582,106004,200586,14955,9337,2.41,AL,Asian,6518
Overland Park,Kansas,38.2,93355,93156,186511,10461,21407,2.41,KS,White,161153
Columbia,South Carolina,28,67686,65707,133393,5708,6074,2.32,SC,Asian,3501
Wichita,Kansas,34.6,192354,197601,389955,23978,40270,2.56,KS,American Indian and Alaska Native,8791
Billings,Montana,36.3,52705,57565,110270,9121,3206,2.4,MT,Black or African-American,2200
Eugene,Oregon,33.4,79071,84377,163448,8896,14503,2.34,OR,Asian,11073
San Bernardino,California,28.5,108671,107466,216137,7741,55135,3.55,CA,American Indian and Alaska Native,4520
Denver,Colorado,34.1,341137,341408,682545,29363,113222,2.33,CO,White,546370
Melbourne,Florida,43.4,39180,40956,80136,8363,9685,2.37,FL,Asian,5186
Elgin,Illinois,35.7,54852,56224,111076,4024,30167,2.97,IL,White,76126
Ogden,Utah,31.3,44323,41127,85450,5080,12791,2.68,UT,Hispanic or Latino,28275
Gainesville,Florida,26,60803,69330,130133,4788,15272,2.33,FL,Hispanic or Latino,12208
Lakewood,Colorado,37.7,76013,76576,152589,9988,14169,2.29,CO,Asian,7340
Pittsburgh,Pennsylvania,32.9,149690,154695,304385,17728,28187,2.13,PA,American Indian and Alaska Native,2689
Bk,California,37,50405,54909,105314,4048,32435,2.52,CA,American Indian and Alaska Native,1639
Napa,California,37.2,39828,40601,80429,4678,18449,2.84,CA,Black or African-American,675
Fishers,Indiana,34.5,42161,43910,86071,2469,6138,2.8,IN,Hispanic or Latino,3409
Pasco,Washington,28.6,35298,32799,68097,2052,16265,3.45,WA,Asian,2215
Bolingbrook,Illinois,33.7,36295,35801,72096,2951,15212,3.42,IL,Black or African-American,12671
Boulder,Colorado,29,56342,51000,107342,4061,12993,2.24,CO,White,98243
Tucson,Arizona,33.6,264893,266781,531674,38182,82220,2.45,AZ,Black or African-American,33900
Camarillo,California,40.8,31941,35682,67623,4384,9735,2.77,CA,American Indian and Alaska Native,742
Lafayette,Louisiana,31.7,64018,63643,127661,5206,5396,2.54,LA,White,85282
Saint Cloud,Minnesota,30.7,34311,33942,68253,5012,5757,2.41,MN,Hispanic or Latino,2639
Youngs,Ohio,37.5,30758,33851,64609,3620,1058,2.22,OH,White,33031
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,White,92278
Beaverton,Oregon,35.6,47325,49252,96577,4645,18933,2.46,OR,Hispanic or Latino,15452
Miami,Florida,40.4,215840,225149,440989,7233,260789,2.5,FL,Black or African-American,87331
Grand Rapids,Michigan,32.1,95669,99430,195099,8972,19176,2.56,MI,Black or African-American,42256
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,Hispanic or Latino,9368
Houston,Texas,32.6,1149686,1148942,2298628,71898,696210,2.66,TX,White,1386389
Boca Raton,Florida,47.3,44760,48466,93226,4367,21117,2.22,FL,Asian,2494
Passaic,New Jersey,30.4,36505,34577,71082,693,24174,3.56,NJ,Hispanic or Latino,53680
Hollywood,Florida,41.4,75358,74363,149721,6056,55158,2.65,FL,Black or African-American,34916
Philadelphia,Pennsylvania,34.1,741270,826172,1567442,61995,205339,2.61,PA,Black or African-American,691186
North Little Rock,Arkansas,33.6,31671,34835,66506,4130,2787,2.62,AR,White,34118
Springfield,Massachusetts,31.8,74744,79592,154336,5723,16226,2.81,MA,Black or African-American,35284
Hayward,California,34.3,78152,80148,158300,4385,60970,3.32,CA,Black or African-American,20219
Davenport,Iowa,35.2,50123,52454,102577,7090,4065,2.39,IA,Hispanic or Latino,9131
Bethlehem,Pennsylvania,35.1,35861,38506,74367,4704,6295,2.46,PA,Asian,3759
Denver,Colorado,34.1,341137,341408,682545,29363,113222,2.33,CO,Asian,32491
Champaign,Illinois,28.7,43326,42760,86086,3734,12261,2.25,IL,Asian,11746
Bakersfield,California,30.6,182154,191473,373627,12284,71575,3.23,CA,Asian,31929
Santa Clara,California,35.2,63278,62938,126216,4426,52281,2.75,CA,Black or African-American,4580
Davis,California,26.3,33493,34163,67656,2176,13997,2.69,CA,White,47997
Los Angeles,California,35,1958998,2012898,3971896,85417,1485425,2.86,CA,White,2177650
Redlands,California,36.2,33993,37035,71028,3445,8681,2.82,CA,Asian,6255
Lorain,Ohio,35.6,30844,32807,63651,4905,1531,2.52,OH,Hispanic or Latino,19342
Reno,Nevada,35.7,122292,119151,241443,17089,37070,2.46,NV,American Indian and Alaska Native,3872
Manchester,New Hampshire,37.3,54845,55378,110223,5473,14506,2.4,NH,White,100108
Chico,California,29.9,46168,44168,90336,4519,8425,2.5,CA,Asian,6101
Renton,Washington,36.3,52779,47468,100247,5032,28962,2.57,WA,Black or African-American,12265
Enterprise,Nevada,34.1,69146,66328,135474,7526,31173,2.89,NV,White,85505
Huntington Beach,California,41.6,99967,101960,201927,10454,35368,2.67,CA,American Indian and Alaska Native,2843
Bloomington,Indiana,23.5,40588,43227,83815,2368,10033,2.33,IN,Hispanic or Latino,3643
West Valley City,Utah,30.7,68235,67989,136224,4880,30712,3.81,UT,American Indian and Alaska Native,4851
Renton,Washington,36.3,52779,47468,100247,5032,28962,2.57,WA,Asian,22550
Atlanta,Georgia,33.8,223960,239915,463875,18572,32016,2.15,GA,Asian,24268
Lubbock,Texas,29.2,122320,126731,249051,10588,14226,2.61,TX,Black or African-American,23594
Evanston,Illinois,36.8,34146,41377,75523,2058,15003,2.29,IL,Asian,8800
Macon,Georgia,36,71833,81626,153459,10735,4846,2.46,GA,Hispanic or Latino,4897
Anchorage,Alaska,32.2,152945,145750,298695,27492,33258,2.77,AK,Asian,36825
Santa Rosa,California,37.9,86840,88149,174989,9101,33015,2.7,CA,Asian,13496
San Clemente,California,45.2,34076,31456,65532,3970,8109,2.64,CA,Asian,4296
Bloomington,Illinois,35.1,37972,40323,78295,3888,7287,2.34,IL,White,60652
Greenville,North Carolina,26.2,39897,50691,90588,4283,4183,2.4,NC,American Indian and Alaska Native,917
McKinney,Texas,35.6,77339,85548,162887,8082,25760,2.91,TX,Asian,13882
Lexington-Fayette  county,Kentucky,34.4,154032,160456,314488,16661,28613,2.34,KY,Black or African-American,51493
Fort Lauderdale,Florida,42.8,93948,84639,178587,8897,47582,2.38,FL,Black or African-American,62954
Boca Raton,Florida,47.3,44760,48466,93226,4367,21117,2.22,FL,American Indian and Alaska Native,556
East Orange,New Jersey,35.5,29995,34967,64962,1870,15164,2.85,NJ,Black or African-American,57859
Rapid City,South Dakota,39.5,36122,37446,73568,7429,2375,2.31,SD,Hispanic or Latino,2971
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,Black or African-American,1560
Pittsburg,California,34.5,33309,36118,69427,2109,21043,3.15,CA,Hispanic or Latino,28605
Killeen,Texas,29.2,69442,71367,140809,24281,15769,2.72,TX,Hispanic or Latino,32600
Sioux Falls,South Dakota,34.6,86596,84934,171530,8658,12934,2.38,SD,Hispanic or Latino,9388
Charleston,South Carolina,35,63956,71568,135524,9368,5767,2.4,SC,White,104016
Worcester,Massachusetts,34.9,90951,93855,184806,9408,36907,2.43,MA,American Indian and Alaska Native,1917
Athens-Clarke County unified government,Georgia,26.5,57415,65148,122563,3953,12868,2.44,GA,White,79931
Kansas City,Missouri,35.9,228430,246931,475361,24710,37787,2.35,MO,Asian,17061
Santa Maria,California,30.1,53320,51762,105082,2876,39192,3.83,CA,American Indian and Alaska Native,1575
Frisco,Texas,37.2,73989,80399,154388,6297,30913,3.05,TX,White,111477
Modesto,California,35.2,104852,106405,211257,9855,39613,2.97,CA,Black or African-American,9869
Pine Hills,Florida,29.2,35344,40737,76081,2594,20735,3.3,FL,Black or African-American,57089
Livermore,California,36.7,41522,46595,88117,3063,13959,2.91,CA,White,73440
Thornton,Colorado,33.1,65482,67977,133459,7261,17949,2.97,CO,White,119264
Anaheim,California,33.6,179603,171135,350738,9796,137133,3.45,CA,Asian,53270
Anaheim,California,33.6,179603,171135,350738,9796,137133,3.45,CA,American Indian and Alaska Native,2489
Milwaukee,Wisconsin,31.6,286315,313839,600154,20615,58321,2.51,WI,Black or African-American,248149
Lansing,Michigan,31.4,54333,59777,114110,5327,8371,2.39,MI,Asian,4168
Beaverton,Oregon,35.6,47325,49252,96577,4645,18933,2.46,OR,Black or African-American,3100
Saint George,Utah,37.3,38732,41475,80207,4443,4824,2.81,UT,Asian,1649
